"Semester","CRN","Course","Course title","Grade","Grade Points"
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,A,4.0
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,A-,3.7
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B+,3.3
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B,3.0
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B,3.0
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B-,2.7
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B-,2.7
Fall 2021,15741,ART203V01,Photography: Ambient Daylight,B-,2.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,A-,3.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,A-,3.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,A-,3.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,B+,3.3
Fall 2021,16800,ART205V01,Photography: Artificial Light,B+,3.3
Fall 2021,16800,ART205V01,Photography: Artificial Light,B,3.0
Fall 2021,16800,ART205V01,Photography: Artificial Light,B.3.0
Fall 2021,16800,ART205V01,Photography: Artificial Light,B-,2.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,B-,2.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,B-,2.7
Fall 2021,16800,ART205V01,Photography: Artificial Light,C+,2.3
Fall 2021,16800,ART205V01,Photography: Artificial Light,C,2.0
Fall 2021,16800,ART205V01,Photography: Artificial Light,D+,1.3
Fall 2021,16800,ART205V01,Photography: Artificial Light,F,0
Fall 2021,16802,ART436V01,Topics in Art,B+,3.3
Fall 2021,16802,ART436V01,Topics in Art,B+,3.3
Fall 2021,16802,ART436V01,Topics in Art,B,3.0
Fall 2021,16802,ART436V01,Topics in Art,C,2.0
Fall 2021,16802,ART436V01,Topics in Art,F,0
Spring 2022,17477,ART205V01,Photography: Artificial Light,A,4.0
Spring 2022,17477,ART205V01,Photography: Artificial Light,A,4.0
Spring 2022,17477,ART205V01,Photography: Artificial Light,A-,3.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,A-,3.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,A-,3.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,A-,3.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,B+,3.3
Spring 2022,17477,ART205V01,Photography: Artificial Light,B+,3.3
Spring 2022,17477,ART205V01,Photography: Artificial Light,B+,3.3
Spring 2022,17477,ART205V01,Photography: Artificial Light,B+,3.3
Spring 2022,17477,ART205V01,Photography: Artificial Light,B-,2.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,B-,2.7
Spring 2022,17477,ART205V01,Photography: Artificial Light,C+,2.3
Spring 2022,17477,ART205V01,Photography: Artificial Light,F,0
Spring 2022,17478,ART205V02,Photography: Artificial Light,A,4.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,A,4.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,A,4.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,A-,3.7
Spring 2022,17478,ART205V02,Photography: Artificial Light,B+,3.3
Spring 2022,17478,ART205V02,Photography: Artificial Light,B+,3.3
Spring 2022,17478,ART205V02,Photography: Artificial Light,B+,3.3
Spring 2022,17478,ART205V02,Photography: Artificial Light,B+,3.3
Spring 2022,17478,ART205V02,Photography: Artificial Light,B,3.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,B,3.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,B,3.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,B,3.0
Spring 2022,17478,ART205V02,Photography: Artificial Light,C+,2.3
Spring 2022,17478,ART205V02,Photography: Artificial Light,C-,1.7
Spring 2022,17012,ART480V01,Sr. Interdisciplinary Arts Studio,A-,3.7
Spring 2022,17012,ART480V01,Sr. Interdisciplinary Arts Studio,A-,3.7
Spring 2022,17012,ART480V01,Sr. Interdisciplinary Arts Studio,B+,3.3
Spring 2022,17076,ART485V01,Studio Art Capstone Seminar,C+,2.3
Spring 2022,17076,ART485V01,Studio Art Capstone Seminar,C,2.0
Spring 2022,17482,ART490V01,Art Hist. Sr. Capstone Seminar,B-,2.7
Fall 2022,18092,ART319V01,Mixed Media Photography,A,4.0
Fall 2022,18092,ART319V01,Mixed Media Photography,A,4.0
Fall 2022,18092,ART319V01,Mixed Media Photography,A,4.0
Fall 2022,18092,ART319V01,Mixed Media Photography,A-,3.7
Fall 2022,18092,ART319V01,Mixed Media Photography,B+,3.3
Fall 2022,18092,ART319V01,Mixed Media Photography,B+,3.3
Fall 2022,18092,ART319V01,Mixed Media Photography,B,3.0
Fall 2022,18092,ART319V01,Mixed Media Photography,B,3.0
Fall 2022,18092,ART319V01,Mixed Media Photography,B,3.0
Fall 2022,18092,ART319V01,Mixed Media Photography,B-,2.7
Fall 2022,18092,ART319V01,Mixed Media Photography,B-,2.7
Fall 2022,18092,ART319V01,Mixed Media Photography,C+,2.3
Fall 2022,18092,ART319V01,Mixed Media Photography,C+,2.3
Fall 2022,18092,ART319V01,Mixed Media Photography,C,2.0
Fall 2022,18092,ART319V01,Mixed Media Photography,C,2.0
Fall 2022,18092,ART319V01,Mixed Media Photography,C-,1.7
Fall 2022,18295,ART324V01,Experimental Filmmaking,A,4.0
Fall 2022,18295,ART324V01,Experimental Filmmaking,A,4.0
Fall 2022,18295,ART324V01,Experimental Filmmaking,B,3.0
Fall 2022,18295,ART324V01,Experimental Filmmaking,B-,2.7
Fall 2022,18295,ART324V01,Experimental Filmmaking,B-,2.7
Fall 2022,18294,COMM324V01,Experimental Filmmaking,A-,3.7
Fall 2022,18294,COMM324V01,Experimental Filmmaking,B+,3.3
Fall 2022,18294,COMM324V01,Experimental Filmmaking,B+,3.3
Fall 2022,18294,COMM324V01,Experimental Filmmaking,B+,3.3
Fall 2022,18294,COMM324V01,Experimental Filmmaking,B,3.0
Fall 2022,18294,COMM324V01,Experimental Filmmaking,B-,2.7


